優先等級,類別,項目名稱,預計期限/日期,狀態,相關網址/App,詳細說明與重要備忘
P0-極度緊急,證件金融,辦理國際駕照與檢查台灣駕照正本,出發前兩週（9/5前）,⬜未完成,監理站,取車必備：國際駕照正本+影本、台灣實體駕照正本（須在有效期限內）、護照正本。9/25 雷恩 Sixt 取車時缺一不可。
P0-極度緊急,證件金融,開通信用卡「預借現金 4 位數 PIN 碼」並備足額度,出發前兩週（9/5前）,⬜未完成,各發卡銀行客服,取車時現場需刷扣 €300 押金（限主駕駛人同名實體信用卡，不收預付卡/Debit）。加油機與收費站需輸入4位數PIN碼。
P0-極度緊急,交通自駕,預約 9/25 雷恩取車 ➔ 9/30 迪士尼Chessy還車,9/25–9/30 (5天),✅已完成 (Sixt: 9738701348),Sixt 官方 App / 官網,已付 €624.46(SFAR休旅・零自付額)。建議出發前在 Sixt App 做「線上身分驗證」享快速通關免現場排隊。9/25 08:00 雷恩取車，9/30 19:00 Chessy 還車。
P0-極度緊急,住宿預訂,預訂 9/25 聖米歇爾山飯店（Mercure）,9/25–9/26 (1晚),✅已完成 (QQDDDWJZ),Hôtel Mercure Mont Saint-Michel,已付款 €195.50(含雙人早餐)。飯店將於入住前 24-48 小時 (9/23-9/24) 透過 Email / SMS 發送 6 位數車輛進入道閘 Access Code。電話: +33 2 33 60 14 18。
P0-極度緊急,交通自駕,查收 9/25 Mercure 飯店車輛進入道閘 Access Code,9/23–9/24,⬜待查收,Email / 簡訊 / 飯店電話,飯店會在入住前 1-2 天寄送 6 位數通行密碼。9/25 下午自駕抵達 La Caserne 道閘時需輸入該密碼抬桿進場・停 Mercure 專屬免費停車場・若未收到請主動致電櫃檯索取 (+33 2 33 60 14 18)。
P0-極度緊急,景點預約,預約 聖禮拜堂 Sainte-Chapelle 入場時段,出發前兩週（9/5前）,⬜未完成,https://www.paris-sainte-chapelle.fr,9/21 行程。建議預約 09:30 第一批，晨光穿透彩繪玻璃最美。持 PMP 博物館通票仍需線上預約時段。
P0-極度緊急,景點預約,預約 橘園美術館 Musée de l'Orangerie 入場時段,出發前兩週（9/5前）,⬜未完成,https://www.musee-orangerie.fr,9/21 行程。持 PMP 博物館通票需預約下午入場時段（沉浸 360 度莫內睡蓮全景）。
P0-極度緊急,景點預約,預約 羅浮宮 Musée du Louvre 入場時段,出發前兩週（9/5前）,⬜未完成,https://www.ticketlouvre.fr,9/23 行程。持通票必約 Time Slot。建議從地下卡魯塞爾購物廊 (Galerie du Carrousel) 入口進入，避開金字塔人潮。
P0-極度緊急,景點門票,購買 聖米歇爾山修道院 門票,9/26 當場手機購買,⬜當場購買即可,https://www.kkday.com/zh-tw/product/249775?cid=2298,9/26 (六) 09:00 行程。當場以手機在 KKday 線上購買即可（即買即出電子票・免排隊・直接掃碼入場・自由掌握時間）。
P0-極度緊急,景點門票,購買 吉維尼莫內之家 Fondation Monet 門票,9/29 (二),✅已完成 (已購票 27€),https://www.fondation-monet.com,9/29 (二) 門票已購買完成（2人共 27.00€）。訂單編號【Order Ref: 2624364336390402463】・電子門票已存放於 data/Tickets_2624364336390402463.pdf・09:30開門入場直奔睡蓮池。
P0-極度緊急,景點預約,預約 凡爾賽宮門票與入場場次,出發前兩週（9/5前）,⬜未完成,https://www.chateauversailles.fr,9/30 (三) 行程。預約開館第一場（09:00）。執行「鏡廳衝刺法」直奔二樓鏡廳拍無人空景。⚠️遲到拒絕入場。
P0-極度緊急,樂園門票,購買 巴黎迪士尼 2 日門票,出發前兩週（9/5前）,⬜未完成,Disneyland Paris App / 官網,10/1（主樂園 Disneyland Park）與 10/2（影城 Walt Disney Studios Park）。確認票券已綁定至官方 App。
