分類,物品名稱,放置位置,重要程度,數量建議,實戰備忘與注意事項,打勾確認
🪪 重要證件與金融,護照正本,隨身貼身防盜包,⭐⭐⭐⭐⭐ 必備,雙人各1本,出境、入境、退稅、飯店Check-in必備，效期需大於6個月，分開貼身保管,⬜未完成
🪪 重要證件與金融,護照彩色影本 ＋ 電子檔存手機,隨身/大行李分開存,⭐⭐⭐⭐⭐ 必備,各2份,與正本分開存放，以防正本遺失時至駐法代表處緊急補辦,⬜未完成
🪪 重要證件與金融,台灣實體駕照正本,隨身貼身包,⭐⭐⭐⭐⭐ 必備,主駕必備1張,⚠️極重要！9/25雷恩取車時車行櫃檯必驗台灣實體駕照，無實體正本無法發車,⬜未完成
🪪 重要證件與金融,國際駕照正本 (A/B蓋章),隨身貼身包,⭐⭐⭐⭐⭐ 必備,主駕必備1本,確認在有效期限內，搭配台灣駕照正本一同出示給 Sixt 驗收,⬜未完成
🪪 重要證件與金融,海外高回饋信用卡 (已開通4位數PIN碼),隨身錢包/分開存,⭐⭐⭐⭐⭐ 必備,2-3張不同銀行,取車需刷扣主駕駛同名卡300歐押金；加油機與公路收費需4位數預借現金PIN碼,⬜未完成
🪪 重要證件與金融,婚紗尾款歐元現鈔 €2500,隨身貼身防盜暗袋,⭐⭐⭐⭐⭐ 必備,百元鈔共2500€,PARIS ODYSSEY 合約明定 9/20 拍攝結束當場結清現鈔，現場不可刷卡,⬜未完成
🪪 重要證件與金融,歐元零錢與小面額現金,隨身錢包,⭐⭐⭐⭐ 必備,約150-200€/人,投幣廁所(0.5~1€)、路邊市集買可麗餅、小額現金支付備用,⬜未完成
🪪 重要證件與金融,1 吋大頭照 2 張,隨身夾鏈袋,⭐⭐⭐⭐ 備用,每人2張,9/16 抵達申辦實體 Navigo 週卡貼卡備用（法國查票極嚴格，無照可能罰款）,⬜未完成
🎧 3C 電子與配件,大容量行動電源 (10000-20000mAh),隨身背包 (嚴禁託運),⭐⭐⭐⭐⭐ 必備,每人1顆,⚠️航空法規嚴禁託運！全天看地圖導航、拍照極耗電，必須隨身攜帶登機,⬜未完成
🎧 3C 電子與配件,歐規雙圓孔轉接頭 (Type C/E),隨身/大行李箱,⭐⭐⭐⭐⭐ 必備,2-3個,法國插座為雙圓孔（具地線插柱），建議挑選具多孔 USB/Type-C 輸出款,⬜未完成
🎧 3C 電子與配件,車用冷氣孔手機支架,隨身/大行李箱,⭐⭐⭐⭐⭐ 必備神器,1個,9/25-9/30 諾曼第自駕導航必備神器，夾在出風口看 Google Maps 最安全,⬜未完成
🎧 3C 電子與配件,車用點菸器快充頭 ＋ 充電線,隨身/大行李箱,⭐⭐⭐⭐⭐ 必備,1組,自駕車上長時間導航充電必備，避免手機導航半途沒電,⬜未完成
🎧 3C 電子與配件,3.5mm 有線耳機 ＋ 轉接頭,隨身背包,⭐⭐⭐⭐⭐ 必備神器,2組,參觀羅浮宮、奧塞、凡爾賽宮租借導覽機插自己耳機，騰出雙手拿手機拍照,⬜未完成
🎧 3C 電子與配件,手機各款長充電線 ＋ 快充頭,隨身/大行李箱,⭐⭐⭐⭐⭐ 必備,各2條,夜間飯店床頭、自駕車內補充電力,⬜未完成
🛡️ 防盜安全與機上,手機背帶式斜背掛繩,隨身佩戴,⭐⭐⭐⭐⭐ 必備神器,每人1組,防範巴黎地鐵與觀光區飛車黨抽手機，隨手放開即懸掛身前，極度安全,⬜未完成
🛡️ 防盜安全與機上,貼身隱形防盜腰包,隨身穿在衣服內,⭐⭐⭐⭐⭐ 必備,各1個,貼身收藏護照、婚紗尾款大額歐元現鈔，進地鐵與熱鬧街區最安心,⬜未完成
🛡️ 防盜安全與機上,便攜門阻警報器 / 橡膠門阻,大行李箱託運,⭐⭐⭐⭐ 必備神器,1-2個,法國老飯店多數無防盜鏈，睡前塞在門底縫隙，物理防推門大幅增加安全感,⬜未完成
🛡️ 防盜安全與機上,長途飛行連帽頸枕 ＋ 3D 眼罩,隨身登機包,⭐⭐⭐⭐ 必備,各1組,9/15 長榮 BR87 飛行 14 小時調時差睡眠必備，機上充分休息,⬜未完成
🛡️ 防盜安全與機上,拋棄式拖鞋 ＋ 防水室內拖鞋,大行李箱託運,⭐⭐⭐⭐⭐ 必備神器,每人各1雙,法國飯店 100% 不提供一次性室內拖鞋！進房換穿舒服，防水拖鞋洗澡必備,⬜未完成
🛡️ 防盜安全與機上,保濕護唇膏 ＋ 隨身小乳液 (小於100ml),隨身登機透明袋,⭐⭐⭐⭐ 必備,各1支,長途機艙與法北秋季極度乾燥（濕度常低於30%），隨身滋潤保濕,⬜未完成
🛡️ 防盜安全與機上,黑色原子筆,隨身背包,⭐⭐⭐⭐ 必備,1-2支,機上填寫資料、PMP博物館通票首次使用在背面填寫姓名與啟用日期,⬜未完成
👗 婚紗專用裝備,NuBra 隱形胸罩 ＋ 膚色無痕內衣,大行李箱/專用提袋,⭐⭐⭐⭐⭐ 必備,各2組,9/17 試婚紗 (The Bride Paris) 與 9/20 拍攝日指定穿搭必備,⬜未完成
👗 婚紗專用裝備,拍攝日好走平底休閒鞋 / 拖鞋,拍攝日隨身大袋,⭐⭐⭐⭐⭐ 必備,女方1雙,9/20 婚紗日轉場（鐵塔、橋樑石板路）換穿平底鞋移動，免高跟鞋腳痛,⬜未完成
👗 婚紗專用裝備,輕薄保暖防風外套 / 披肩,拍攝日隨身大袋,⭐⭐⭐⭐ 必備,1件,9/20 清晨 07:00 開拍時塞納河畔氣溫涼，非拍攝空檔套上保暖防感冒,⬜未完成
👗 婚紗專用裝備,男士西裝、白襯衫、深色皮鞋、黑長襪,大行李箱託運(防塵袋),⭐⭐⭐⭐⭐ 必備,1整套,婚紗拍攝男士自備裝備，整齊吊掛於西裝防塵袋中託運防皺,⬜未完成
👗 婚紗專用裝備,隱形眼鏡 ＋ 隨身小鏡子 ＋ 蜜粉紙,隨身補妝包,⭐⭐⭐⭐ 必備,2副以上,婚紗試穿與拍攝當日配戴，眼妝自然明亮，拍照空檔隨時吸油補妝,⬜未完成
👔 日常衣物與穿搭,防風防潑水保暖外套 / 風衣,隨身穿或行李箱,⭐⭐⭐⭐⭐ 必備,每人1件,法北 9 月底氣溫約 11°C~20°C，象鼻海岸與聖米山海風強勁，必備防風抗寒,⬜未完成
👔 日常衣物與穿搭,洋蔥式穿搭長袖、薄針織毛衣、襯衫,大行李箱託運,⭐⭐⭐⭐ 必備,4-5套/人,早晚溫差大，室內與地鐵暖氣熱，洋蔥式穿脫最舒適,⬜未完成
👔 日常衣物與穿搭,舒適好走球鞋 / 健走鞋,穿腳上/行李箱,⭐⭐⭐⭐⭐ 必備,每人2雙,巴黎每日步行萬步起跳，象鼻海岸懸崖健行與聖米歇爾山步道極需耐磨好走,⬜未完成
👔 日常衣物與穿搭,換洗衣物內衣褲與襪子,大行李箱託運,⭐⭐⭐⭐ 必備,4-5天份,搭配三大洗衣節點（9/19巴黎、9/28盧昂、10/1迪士尼）換洗，免帶整月份,⬜未完成
👔 日常衣物與穿搭,抗 UV 偏光太陽眼鏡 ＋ 堅固折疊傘,隨身背包,⭐⭐⭐⭐ 必備,各1副/把,自駕開車陽光眩光防護、象鼻海岸海邊刺眼防護；法北秋雨防風晴雨傘,⬜未完成
💊 常備藥品與衛浴,個人常用藥盒 (普拿疼/止痛/退燒),大行李箱/隨身備用,⭐⭐⭐⭐⭐ 必備,1盒,歐洲藥局買藥手續繁瑣且劑量強，自備習慣的止痛解熱藥最安心,⬜未完成
💊 常備藥品與衛浴,腸胃藥 (止瀉/胃乳/整腸健胃錠),大行李箱託運,⭐⭐⭐⭐⭐ 必備,1盒,品嚐法餐生蠔、起司生火腿等飲食改變時應急防腸胃不適,⬜未完成
💊 常備藥品與衛浴,暈車藥 / 暈船藥,大行李箱/隨身,⭐⭐⭐⭐⭐ 必備神器,1盒,9/27 諾曼第象鼻海岸阿瓦爾懸崖蜿蜒山路自駕必備，易暈車者必吃,⬜未完成
💊 常備藥品與衛浴,OK 繃、防水貼布 ＋ 曼秀雷敦小藥膏,隨身/大行李箱,⭐⭐⭐⭐ 必備,1小包,步行磨腳防破皮、防小擦傷應急,⬜未完成
💊 常備藥品與衛浴,個人牙刷、牙膏 ＆ 刮鬍刀,大行李箱託運,⭐⭐⭐⭐⭐ 必備,各1組,歐洲環保政策，法國 3-4 星級飯店與 B&B 飯店 100% 不提供牙刷牙膏,⬜未完成
💊 常備藥品與衛浴,高保濕身體乳液、臉部面霜、護手霜,大行李箱託運,⭐⭐⭐⭐⭐ 必備,各1罐,法北乾燥氣候洗完澡皮膚極易乾癢脫皮，強力保濕必不可少,⬜未完成
🛍️ 生活洗衣與戰利品,折疊大容量尼龍洗衣袋 ＋ 獨立洗衣球,大行李箱託運,⭐⭐⭐⭐⭐ 必備神器,1袋+5顆洗衣球,專門應對三大洗衣點（9/19巴黎、9/28盧昂、10/1迪士尼自助洗衣）,⬜未完成
🛍️ 生活洗衣與戰利品,手提行李電子秤 (行李秤),大行李箱託運,⭐⭐⭐⭐⭐ 必備神器,1個,返程長榮每件限重 23kg！買紅酒香水奶油前在飯店精準過秤，免在機場超重罰款,⬜未完成
🛍️ 生活洗衣與戰利品,加厚折疊保冷保溫袋 ＋ 密封夾鏈袋,大行李箱託運,⭐⭐⭐⭐⭐ 必備神器,1-2個,帶回 Le Butter Shop 手工頂級奶油 (松露/海鹽) 與諾曼第起司必備隔溫神器,⬜未完成
🛍️ 生活洗衣與戰利品,透明退稅單專用防水夾鏈袋,隨身背包,⭐⭐⭐⭐ 必備,1個,每次購物集中收納 Tax Free 退稅單據與明細發票，10/6 戴高樂退稅一目了然,⬜未完成
🛍️ 生活洗衣與戰利品,折疊大旅行袋 / 登機備用袋,大行李箱託運,⭐⭐⭐⭐ 備用,1個,回程在老佛爺與精品店買太多戰利品時，可直接作為隨身手提擴充行李,⬜未完成
