類別,物品名稱,必要性,功能與實戰避坑理由,攜帶方式,準備狀態
🛡️ 防盜安全與住宿,手機背帶式斜背長掛繩,⭐⭐⭐⭐⭐ 必備神器,拍照、看地圖後能快速解放雙手！比手腕短繩更安全・有效防止巴黎地鐵與鬧區飛車搶奪/抽手機・防止手滑摔落碎屏。,隨身斜背,⬜未準備
🛡️ 防盜安全與住宿,門阻警報器 / 橡膠門阻,⭐⭐⭐⭐⭐ 必備神器,歐洲/法國飯店許多老房門無暗鎖或鍊條扣！底部止滑墊塞在門縫可物理防推門・警報太靈敏可關閉純當物理門阻・夜間睡覺安全感大增。,大行李託運,⬜未準備
🛡️ 防盜安全與住宿,紙拖鞋 ＆ 折疊室內防水拖鞋,⭐⭐⭐⭐⭐ 必備神器,歐美/法國飯店完全不提供一次性室內拖鞋！進房換穿紙拖鞋舒適乾淨・折疊防水拖鞋洗澡必備不怕踩濕。,大行李託運,⬜未準備
🛡️ 防盜安全與住宿,貼身防盜隱形腰包 / 防割斜背包,⭐⭐⭐⭐⭐ 必備,重要護照與大額現金貼身藏在衣服內・隨身包拉鍊拉好往前背・進地鐵緊抱胸前。,隨身攜帶,⬜未準備
🎧 3C 電子與博物館,3.5mm 有線耳機 (附轉接頭),⭐⭐⭐⭐⭐ 必備神器,參觀羅浮宮/奧塞/凡爾賽租借 Audio Guide 導覽機必備！插上自己耳機可將導覽機掛脖子・騰出雙手拿相機/手機拍照・附 Type-C/Lightning 轉接頭。,隨身背包,⬜未準備
🎧 3C 電子與博物館,歐規雙圓孔轉接頭 (Type C/E) 2~3個,⭐⭐⭐⭐⭐ 必備,法國插座為雙圓孔（帶接地柱）・建議帶 2~3 個支援多孔 USB/Type-C 的轉接頭同時充手機與相機。,隨身/大行李,⬜未準備
🎧 3C 電子與博物館,大容量行動電源 (10000-20000mAh),⭐⭐⭐⭐⭐ 必備,全天查地圖與拍照耗電極快・⚠️ 必須放在隨身行李登機・嚴禁放入託運行李！,隨身行李 (嚴禁託運),⬜未準備
🎧 3C 電子與博物館,車用手機支架 ＋ 車充線/點菸器,⭐⭐⭐⭐⭐ 必備,9/25-9/30 諾曼第自駕 6 天導航神器！夾在冷氣出風口即時看 Google Maps 導航與路況。,隨身/大行李,⬜未準備
🪪 證件金融與票券,護照正本 ＋ 護照彩色影本2份,⭐⭐⭐⭐⭐ 必備,效期須在 6 個月以上・隨身攜帶正本辦理退稅與取車・影本與電子檔分開存放以防遺失。,隨身隱形包,⬜未準備
🪪 證件金融與票券,台灣駕照正本 ＋ 國際駕照正本,⭐⭐⭐⭐⭐ 必備,9/25 雷恩 Sixt 取車必備！兩本皆須在有效期限內・缺台灣實體正本車行會直接拒絕發車！,隨身隱形包,⬜未準備
🪪 證件金融與票券,海外高回饋信用卡 (已開通4位數PIN碼),⭐⭐⭐⭐⭐ 必備,備足2~3張不同銀行 Visa/Mastercard・取車刷扣 €300 押金(主駕同名卡)・高速收費與無人加油機需4位數PIN碼。,隨身錢包,⬜未準備
🪪 證件金融與票券,歐元現金零錢 (約 200~300 歐/人),⭐⭐⭐⭐ 必備,多數地方可刷卡・但小鎮市集、投幣廁所(0.5~1€)、買路邊小吃需少量現金硬幣與小面額鈔票。,隨身錢包,⬜未準備
🪪 證件金融與票券,1 吋大頭照 2 張,⭐⭐⭐⭐ 實用,9/16 抵達申辦實體 Navigo 週卡貼卡備用（未貼照片查票可能被罰款）。,隨身夾鏈袋,⬜未準備
👗 婚紗拍攝與穿搭,膚色無痕內衣 ＋ NuBra (隱形胸罩),⭐⭐⭐⭐⭐ 必備,9/17 試婚紗 (The Bride Paris) 與 9/20 拍攝日必備！穿著膚色無痕款最平整自然。,隨身/大行李,⬜未準備
👗 婚紗拍攝與穿搭,拍攝日好走平底便鞋 / 休閒拖鞋,⭐⭐⭐⭐⭐ 必備,9/20 婚紗拍攝在石板路（亞歷山大三世橋/鐵塔）景點間移動換穿・避免踩高跟鞋腳痛扭傷。,隨身大提袋,⬜未準備
👗 婚紗拍攝與穿搭,保暖防風披肩 / 防風薄外套,⭐⭐⭐⭐ 必備,9/20 清晨 07:00 與塞納河畔風大溫差大・拍攝空檔套上保暖防感冒。,隨身大提袋,⬜未準備
👗 婚紗拍攝與穿搭,男士西裝襯衫、皮帶、深色皮鞋與黑襪,⭐⭐⭐⭐⭐ 必備,婚紗拍攝專用配備・建議出發前燙平懸掛於防塵袋內托運。,大行李託運,⬜未準備
💊 個人藥品與衛浴,個人常備藥盒 (感冒/腸胃/止痛/過敏/暈車),⭐⭐⭐⭐⭐ 必備,歐洲藥局買藥不便且成分較強・自備普拿疼、止瀉藥、暈車藥（象鼻海岸與山路自駕必備）。,隨身/大行李,⬜未準備
💊 個人藥品與衛浴,高保濕面霜、身體乳液 ＆ 護唇膏,⭐⭐⭐⭐⭐ 必備,歐洲秋季乾燥（濕度常低於 30%）・洗完澡皮膚極易乾癢脫皮・保濕乳液與護唇膏必不可少。,大行李託運,⬜未準備
💊 個人藥品與衛浴,個人牙刷、牙膏 ＆ 刮鬍刀,⭐⭐⭐⭐ 必備,響應環保・法國多數 3~4 星級飯店與 B&B 均不提供一次性牙刷牙膏與刮鬍刀。,大行李託運,⬜未準備
🛍️ 購物退稅與便利,行李電子秤 (行李秤),⭐⭐⭐⭐⭐ 必備,回程採購果醬、紅酒、香水後・在飯店打包時精準秤重（長榮單件限重 23kg）・避免機場開箱狼狽超重罰款。,大行李託運,⬜未準備
🛍️ 購物退稅與便利,大型折疊加厚購物袋 / 備用行李袋,⭐⭐⭐⭐ 必備,超市採買野餐・或回程戰利品太多時可作為登機手提行李擴充。,大行李託運,⬜未準備
🛍️ 購物退稅與便利,透明退稅夾鏈袋 ＋ 黑色原子筆,⭐⭐⭐⭐ 必備,集中存放每一張 Tax Free 退稅單據與明細・備筆在機場填寫退稅單姓名地址與簽名。,隨身背包,⬜未準備
