園區與日程,分類標籤,設施與景點名稱,推薦星級,核心特色/主題,園區遊玩指南與實用注意事項,特色亮點與最佳拍照角度
主樂園 (10/1 週四),🏰 浪漫地標,睡美人城堡 (Le Château de la Belle au Bois Dormant),⭐⭐⭐⭐⭐ 推薦必訪,童話夢幻地標,全球唯一粉嫩童話城堡！推薦站在主街盡頭右側花園草坪，由下往上仰拍，避開人潮。城堡地底藏有「沉睡惡龍 (La Tanière du Dragon)」值得一探！,中央噴水池側邊花園草坪仰拍角度最美・地底惡龍洞穴燈光幽暗氣氛極佳
主樂園 (10/1 週四),🌮 核心美食,Casa de Coco – Restaurante de Familia (可可主題餐廳),⭐⭐⭐⭐⭐ 人氣推薦,可可夜總會主題,主樂園熱門快餐！位於邊域世界巨雷山旁。販售起司牛肉捲餅(Burrito)與現炸吉拿棒。內部座位充裕、冷氣舒適，是休息用餐的好去處。,① 露台有米高 1:1 等身銅像可合影留念！② 進門右轉「音樂之室」欣賞 Héctor 白色骷髏吉他！③ 家族之室滿滿萬壽菊與彩繪靈獸！
主樂園 (10/1 週四),🎸 角色見面,米高 (Miguel) 本人現場吉他彈唱,⭐⭐⭐⭐⭐ 期間限定,可可夜總會角色互動,米高常抱著吉他在 Casa de Coco 門口出沒！現場演奏彈唱《Remember Me》與《Un Poco Loco》。需開啟官方 App 搜尋「Meet Miguel」確認當天場次。,可與抱著木吉他的米高近距離互動合影・記得錄下現場彈唱的動人歌聲
主樂園 (10/1 週四),🎢 刺激熱門,巨雷山採礦列車 (Big Thunder Mountain),⭐⭐⭐⭐⭐ 熱門首選,經典湖心穿梭雲霄飛車,巴黎版採礦車直接穿入湖底隧道飛向湖中央小島，高速俯衝節奏明快。推薦入園開門時前往，或購買 Premier Access 快速通關。,就在可可餐廳正對面・傍晚夕陽時分搭乘可眺望整個邊域世界湖景與紅岩峽谷
主樂園 (10/1 週四),👻 經典設施,幽靈莊園 (Phantom Manor),⭐⭐⭐⭐⭐ 經典暗黑,法式哥德莊園傳奇,巴黎專屬黑暗故事線！亨利公爵莊園新娘鬼魅傳奇。全息投影精美，節奏溫和不恐怖。全室內冷氣，排隊動線流暢（通常僅 15-20 分鐘）。,莊園建築坐落於小山丘上・外觀散發神秘古典氛圍・就在可可餐廳旁步行 1 分鐘
主樂園 (10/1 週四),🚀 極限雲霄飛車,飛越太空山 (Star Wars Hyperspace Mountain),⭐⭐⭐⭐⭐ 全球唯一,室內彈射＋360度翻轉,具備「彈射起飛＋360度空中大迴轉翻滾」的太空山雲霄飛車！結合星際大戰鈦戰機雷射交火與交響樂。若排隊人潮多可走 Single Rider 單人通道入場。,極限挑戰！若同行夥伴不敢搭乘可走單人通道 10 分鐘快速通行體驗
主樂園 (10/1 週四),🏴‍☠️ 經典水上,加勒比海盜 (Pirates of the Caribbean),⭐⭐⭐⭐⭐ 涼爽舒適,加勒比海盜水上冒險,乘船穿梭加勒比海夜色、海盜激戰與傑克船長藏寶窟。巴黎版有兩次暗黑小俯衝，水花不大，氣氛極具臨場感。,排隊通常 20-25 分鐘・午後走累時適合坐船放鬆休憩
主樂園 (10/1 週四),🎈 歡樂遊行,Disney Stars on Parade 明星大遊行,⭐⭐⭐⭐⭐ 必看大遊行,迪士尼全明星盛裝遊行,每日下午盛大登場！噴火巨龍(黑魔女)、皮克斯花車、冰雪奇緣與米奇家族全員出動。推薦提早 30 分鐘在小小世界 (It's a Small World) 出口旁等候。,小小世界門口轉角視野極佳・黑魔女巨龍噴火瞬間壯觀・拍照錄影採光最佳
主樂園 (10/1 週四),🎆 壓軸大秀,Disney Dreams! 城堡夜間光雕煙火無人機秀,⭐⭐⭐⭐⭐ 終極壓軸,夜間光影音樂盛典,閉園壓軸！全彩雷射、水幕噴泉、無人機編隊與璀璨煙火。中段有《可可夜總會》萬壽菊花瓣橋投影與《Remember Me》交響樂全場大合唱！,提早 45 分鐘在主街中央圓環挑選好視野・萬壽菊花瓣點亮城堡時極為動人
影城樂園 (10/2 週五),🎭 百老匯秀,TOGETHER: a Pixar Musical Adventure,⭐⭐⭐⭐⭐ 百老匯級必看,皮克斯現場交響樂音樂劇,皮克斯大型室內 Live 交響樂音樂劇！包含《可可夜總會》演出，米高、亡靈舞者、墨西哥樂手華麗登場！每日固定場次，需提早 30 分鐘排隊入場。,全室內舒適劇院・坐著吹冷氣享受管弦交響樂演奏與舞台舞蹈
